"a1","a10","a11","a12","a13","a14","a15","a16","a17","a2","a4","a6","a7","a8","a9","c1","c10","c11","c12","c13","c14","c15","c16","c17","c2","c4","c6","c7","c8","c9"
-726000,-182000,-6777000,-252000,198000,-588000,-21400,-447000,186000,212000,43000,-430000,40000,-92900,-128000,-79000,372000,-250000,574000,-423000,-383000,57400,750000,252000,-606000,1232000,395000,3330000,130900,145000
-7080000,-12090000,10805000,630900,0,-730000,-219000,130000,-2100000,1e+06,-60000,4e+05,4640000,-464000,-499000,-568000,12190000,-10329000,-115000,3240000,8600000,165000,-4720000,-11320000,-1133000,2e+05,7750000,4220000,5944000,1069000
-856,-1959,-374,-373,211,-1280,-46,170,-16198500,-1250,-150,3,-55,-72,-264,-98,939,-140,354,754,949,138,-134,798500,0,-818,149,626,287,63
-258300,129000,189000,-57000,852000,-113920,-55860,358300,3599000,3371000,119000,-408700,-3230000,19400,-229600,248300,-30000,-287400,-102900,-1036000,570920,12060,233000,-1090000,-3613000,-164000,222700,-1545000,-1600,9800
-654400,238000,39000,5600,868000,6659000,-96600,-66100,15100000,159000,-272000,-541000,1133000,-2973900,-82600,1448400,-224000,-461500,44800,-354000,-6709000,36500,116100,-26369000,-125000,-42000,-30000,-609000,-32000,40600
-1990,25790,-7760,-5250,1140,880,-1810,-32650,-31900,46760,-88900,1620,-11810,-6790,-7890,-4350,-28000,1110,-50,-4610,8370,3570,3010,0,-53010,19200,49191640,-2590,5540,640
-18600000,-11900000,2e+05,-4380000,6700000,4700000,3e+06,3800000,-27800000,19900000,9300000,-15220000,-14120000,148000,1930000,-7490000,-16100000,-6400000,35190000,-16390000,-12500000,-1800000,-1300000,9e+06,-18300000,-12350000,15920000,34820000,-126000,-940000
-430,15720,525000,-6700,6660,-56900,11880,-77300,47500,145000,-5780,-860,-6508000,-192700,-3292,18760,-2600,-1243570,-11100,-3400,-40700,66600,-65010,175600,-165950,-990,631720,-53000,9200,8712
80000,4680000,-1120000,-194100,688000,-2010000,11090000,-680000,2310000,80000,50000,-2580000,2099000,-1281400,-198000,-410000,-2510000,-6000,3765100,-613000,480000,3300000,1250000,-3250000,-1560000,550000,24020000,570000,1751400,-365000
-2037000,695000,9950000,12000,-316000,-18187000,721000,-6308000,-902000,0,-2e+05,-76700,-805000,-298800,-545900,12000,-643000,-9960000,161000,-208300,-104000,5204000,285000,341000,-77000,-6000,127700,5585000,37533800,66900
-1725000,-163000,-33083000,23436000,196000,5739600,-79000,-604000,136000,-568000,5526000,459000,-708500,-12010000,3053000,-83200,-9000,-217000,-22930000,330000,3300000,-23500,4837000,-157000,-474200,-6059000,-62000,890500,-7447000,3800000
